key,en,ko
greeting.hello,Hello,안녕하세요
home.description,Make today a warm family memory.\nAdd a photo.,당신의 하루가 가족의 따뜻한 기억이 됩니다.\n사진 한 장을 남겨주세요.
home.segment.feed,Feed,피드
home.segment.calendar,Calendar,캘린더
home.navigation.back,Home,홈으로
home.feed.bubble.add_photo,Add Photo,사진 추가하기
home.feed.bubble.done_today,Today's Photo Added,오늘 사진 추가 완료
home.feed.delete.alert.title,Delete Confirmation,삭제 확인
home.feed.delete.alert.message,Do you want to delete this photo?,이 사진을 삭제하시겠습니까?
home.feed.camera.action.camera,Take Photo,카메라로 찍기
home.feed.camera.action.album,Choose from Album,앨범에서 선택
member.family.count,Family Members,가족 참여 인원
member.family.count.value,%d members,%d명
common.back,Back,뒤로가기
common.cancel,Cancel,취소
common.close,Close,닫기
common.delete,Delete,삭제
common.next,Next,다음
common.done,Done,완료
common.preview.nickname,Hong Gil-dong,홍길동
common.preview.relative_time,1 min ago,1분 전
date.relative.just_now,Just now,방금 전
comment.title,Comments,댓글
comment.input.placeholder,Enter a message,메시지를 입력하세요
comment.send,Send,전송
comment.placeholder.preview,Test comment,테스트 댓글
auth.signin.app_name,OneCut,하루한컷
auth.signin.kakao,Continue with Kakao,카카오로 계속하기
auth.signin.apple,Continue with Apple,Apple로 계속하기
auth.group.select.title,Do you have\na family invite code?,가족에게 받은\n그룹 초대 코드가 있으신가요?
auth.group.select.enter.top,If you have an invite code,초대 코드를 받았다면
auth.group.select.enter.bottom,Join Family Group,가족 방 입장하기
auth.group.select.host.top,If you don't have a code,초대 코드가 없다면
auth.group.select.host.bottom,Create Family Group,가족 방 만들기
auth.group.enter.title,Enter your group invite code,그룹 초대 코드를 입력해 주세요
auth.group.enter.placeholder,Enter your group invite code,그룹 초대 코드를 입력해 주세요
auth.group.host.title,Enter a group name,그룹 이름을 입력해 주세요
auth.group.host.placeholder,Enter a group name,그룹 이름을 입력해 주세요
member.invite.share.message,I'd like to invite you to our family group!\nInvite code: %@\n\nWant to learn more about the app? 👉 \n%@\n\nDownload the app 🍎\n%@,우리 가족 그룹에 초대할게요!\n초대코드: %@\n\n앱이 궁금하다면 👉 \n%@\n\n앱 설치하기 🍎\n%@
onboarding.page1.title,OneCut,하루 한컷
onboarding.page1.subtitle,Share each day\nwith one photo.,가족과의 하루를 \n한 장의 사진으로 나눠보세요.
onboarding.page2.title,Share Daily Life,일상 공유
onboarding.page2.subtitle,Share daily moments.\n,매일의 이야기를 함께 나눠요.\n
onboarding.page3.title,See Memories Fast,기록을 한눈에
onboarding.page3.subtitle,View photos in a calendar.\n,달력으로 사진을 돌아볼 수 있어요.\n
onboarding.page4.title,"My Story, My Own Space","나의 이야기, 나만의 공간에"
onboarding.page4.subtitle,Keep your moments in one place.\n,내가 남긴 기록을 한 곳에 담아보세요.\n
profile.nickname_edit.title,Enter the nickname you want to change to.,변경하실 닉네임을 입력해주세요.
profile.nickname_edit.subtitle,You can change your nickname anytime!,닉네임은 언제든지 변경할 수 있어요!
profile.nickname_edit.placeholder,Nickname,닉네임
profile.nickname_edit.complete,Done,완료
profile.setting.section.app,App Settings,앱 설정
profile.setting.section.info,Info,정보
profile.setting.section.account,Account,계정 관리
profile.setting.notification,Notifications,알림 설정
profile.setting.version,Version,버전 정보
profile.setting.privacy,Privacy Policy,개인정보처리방침
profile.setting.announce,Announcements,공지사항
profile.setting.withdraw,Delete Account,회원 탈퇴
profile.setting.logout,Log Out,로그아웃
profile.setting.withdraw.alert.title,Delete Account,회원탈퇴
profile.setting.withdraw.alert.message,Are you sure you want to delete your account?,정말로 탈퇴하시겠습니까?
profile.setting.withdraw.alert.confirm,Delete,탈퇴
profile.setting.notification.alert.title,Notifications are turned off,알림이 비활성화되어 있어요
profile.setting.notification.alert.message,"To receive notifications, enable permission in Settings > Haruhancut.",알림을 받으려면 설정 > 하루한컷에서 접근 권한을 허용해주세요.
profile.setting.notification.alert.open_settings,Open Settings,설정으로 이동
